age,nationality,fee_structure,loyalty_classification,estimated_income,superannuation_savings,amount_of_credit_cards,credit_card_balance,bank_loans,bank_deposits,checking_accounts,saving_accounts,foreign_currency_account,business_lending,properties_owned,risk_weighting,brid,genderid,tenure_year,total_assets,total_liabilities,net_worth,debt_to_income
36,Asian,High,Platinum,260795.34,11584.68,1,2866.34,310876.62,116399.86,69072.45,67077.02,48101.13,1136169.3,1,2,3,1,2020,312235.14,1449912.26,-1137677.12,5.559578863640739
55,European,Mid,Silver,78892.52,32369.71,1,4882.13,1510860.64,317542.21,134344.78,71284.16,20708.55,2283081.57,3,2,3,1,2021,576249.41,3798824.34,-3222574.9299999997,48.151895008550866
61,Asian,High,Silver,257120.22,16263.99,1,8614.06,436988.44,2446251.57,1273391.23,253337.83,80698.26,1128082.14,1,3,4,2,2014,4069942.88,1573684.64,2496258.24,6.120423512394319
56,Asian,Low,Jade,145704.55,3078.27,1,1895.06,384153.37,55118.87,25590.9,64095.37,10492.37,199617.82,3,1,4,2,2020,158375.78,585666.25,-427290.47,4.01954674716747
43,American,Low,Jade,34404.16,19668.4,2,5384.7,1102836.16,204450.83,89694.56,35877.82,22452.06,1115542.44,3,1,3,2,2019,372143.67000000004,2223763.3,-1851619.63,64.63646547394268
63,Australian,Mid,Jade,129060.88,17283.63,1,395.58,1000409.32,966281.34,472404.21,396819.54,37271.05,1631986.9,2,4,1,2,2009,1890059.77,2632791.8,-742732.0299999998,20.39961140819743
41,American,Low,Jade,129981.31,10242.84,2,2383.86,373846.69,38406.8,11024.17,25028.43,24422.1,441603.53,2,1,2,1,2020,109124.34,817834.0800000001,-708709.7400000001,6.2919359714100445
58,European,High,Jade,123545.42,2984.52,1,2789.44,1400623.12,547459.74,324420.58,42985.73,31481.78,1255331.52,3,2,3,2,2015,949332.3500000001,2658744.08,-1709411.73,21.520377525933377
26,American,Mid,Jade,308182.93,64332.66,1,4458.61,649331.84,103871.63,77431.58,133711.12,12045.07,176113.98,0,5,4,2,2013,391392.06000000006,829904.4299999999,-438512.3699999999,2.6928955150111653
21,European,High,Gold,122579.41,10312.54,1,4959.36,963017.56,1115098.09,368467.2,721419.98,11782.22,861771.26,1,2,1,1,2021,2227080.0300000003,1829748.1800000002,397331.8500000001,14.927043456972097
41,American,High,Jade,30942.07,4469.98,1,3338.64,276532.77,132960.52,108193.36,22381.69,23955.9,622223.7,0,1,1,2,2021,291961.45,902095.11,-610133.6599999999,29.15432322401184
36,European,High,Jade,50651.56,8097.25,3,509.21,278071.37,302540.6,94771.75,153748.94,16732.39,430027.77,3,1,1,2,2013,575890.93,708608.3500000001,-132717.42000000004,13.989862306313963
34,Asian,High,Silver,502309.08,69381.0,2,10639.31,1469913.23,1724818.3,507299.5,1168238.27,75592.25,2143826.06,0,4,2,1,2014,3545329.32,3624378.6,-79049.28000000026,7.21543516593409
52,European,High,Jade,87019.73,11316.5,2,1253.68,273944.56,192711.78,54150.42,73580.86,21530.91,772573.6,1,1,2,2,2018,353290.47,1047771.84,-694481.37,12.040623890696972
78,European,Low,Jade,246615.84,35332.0,3,5835.26,622181.88,765153.59,552072.84,308192.24,29778.58,1078308.29,0,3,3,2,2005,1690529.25,1706325.4300000002,-15796.180000000168,6.91896120703358
34,Australian,Low,Jade,130023.36,15464.38,1,219.19,366887.14,447804.62,221138.08,271999.84,31010.83,787555.56,0,1,3,1,2016,987417.75,1154661.8900000001,-167244.14000000013,8.880418795514899
75,European,Low,Jade,82703.81,8635.67,2,8521.8,842201.38,2098819.5,990288.08,424345.83,32253.44,272858.21,3,4,3,1,2013,3554342.52,1123581.3900000001,2430761.13,13.58560615284834
47,European,High,Gold,137256.09,18322.92,2,1050.56,1035297.66,976553.21,180073.64,471515.9,34284.83,469532.28,0,1,3,2,2020,1680750.5,1505880.5,174870.0,10.97132010681639
34,European,High,Platinum,224640.75,57090.72,3,3550.74,1091959.45,828226.52,532945.76,127330.83,61733.24,454281.87,1,3,3,1,2021,1607327.07,1549792.06,57535.01000000001,6.898980082643065
79,American,High,Jade,147292.91,24297.42,1,4097.62,105266.65,187826.4,35438.94,70287.24,7805.91,1112746.46,3,1,3,2,2021,325655.91,1222110.73,-896454.8200000001,8.297145667092868
73,European,High,Platinum,263248.97,47651.76,2,7069.16,693956.23,1420246.29,554930.67,235234.17,1624.19,2518271.85,3,3,3,2,2017,2259687.0799999996,3219297.24,-959610.1600000006,12.22909719266898
80,European,Low,Jade,193690.93,11655.54,2,3610.42,50809.39,342138.31,255463.27,174627.4,4469.13,626121.9,2,2,4,1,2017,788353.65,680541.71,107811.94000000006,3.5135445423283374
73,European,Low,Gold,91243.05,37750.72,3,6660.85,122158.61,2137439.34,639548.78,1273038.67,12504.17,411062.27,2,3,4,2,2014,4100281.68,539881.73,3560399.95,5.916962771411082
51,Asian,Low,Platinum,162807.39,70394.4,1,811.96,709300.71,1667444.17,517118.76,274495.08,2337.77,270162.94,2,4,3,1,2005,2531790.1799999997,980275.6099999999,1551514.5699999998,6.021075640362516
49,European,Mid,Gold,193729.94,44815.46,2,2062.15,66053.91,684295.05,337704.05,534461.09,47911.89,992911.86,2,3,1,2,2012,1649187.5399999998,1061027.92,588159.6199999999,5.476840182782279
81,European,Mid,Platinum,131497.09,15962.66,1,3127.86,57219.9,725666.6,233012.21,506302.25,21798.32,498564.84,0,1,2,2,2006,1502742.04,558912.6,943829.4400000001,4.250379989397484
27,Asian,High,Gold,319205.91,49416.0,1,9.55,0.0,309361.94,360077.01,135307.81,17710.52,945483.98,3,4,3,1,2001,871873.28,945493.53,-73620.25,2.962017620538417
56,European,Mid,Silver,44088.51,32418.88,2,2795.52,1485747.33,396706.92,153723.93,55588.56,40504.26,717420.29,1,2,4,2,2020,678942.5499999999,2205963.14,-1527020.5900000003,50.03487620697547
33,European,High,Silver,420683.66,24472.55,1,1011.56,820479.9,1818216.16,683649.27,886562.2,14157.73,1549847.59,1,3,1,1,2008,3427057.9099999997,2371339.0500000003,1055718.8599999994,5.636869875098074
79,European,Low,Jade,32062.52,19653.48,1,1612.82,231528.63,140280.05,170536.53,109748.51,5492.47,352732.73,0,1,1,2,2006,445711.0399999999,585874.1799999999,-140163.14,18.272867510102135
56,European,Mid,Jade,92487.65,23690.51,1,2199.18,560657.25,208470.98,49811.65,134675.95,5026.45,407139.68,2,1,1,1,2016,421675.54000000004,969996.1100000001,-548320.5700000001,10.487844701427706
55,European,Mid,Gold,130572.51,49441.92,1,3225.23,120782.42,370436.77,206472.95,264528.29,17000.19,854418.25,0,2,2,1,2020,907880.12,978425.9,-70545.78000000003,7.493352927044139
77,Australian,High,Gold,54753.75,5311.0,1,1408.34,80386.11,11363.75,14158.11,4470.98,8745.72,390608.62,1,1,2,2,2021,44049.56,472403.07,-428353.51,8.62777563180604
49,Australian,Mid,Silver,180214.79,9226.35,2,587.71,791256.59,1988033.0,460993.16,783688.37,36763.45,1991318.1,2,2,3,2,2020,3278704.3300000005,2783162.4,495541.93000000063,15.443584846726507
67,European,High,Jade,52826.78,26160.46,2,2617.61,385480.43,295345.61,277114.4,86634.71,20544.7,71268.33,2,1,3,2,1996,705799.8799999999,459366.37,246433.5099999999,8.69571020607351
66,European,Low,Gold,43622.88,19416.4,1,229.9,39047.14,192729.77,87604.44,223391.32,16286.6,237137.34,0,1,3,1,2007,539428.5299999999,276414.38,263014.1499999999,6.336454172672689
64,African,Mid,Silver,142841.26,5405.0,1,3431.39,508939.36,527832.84,450589.01,171867.52,12316.33,542464.52,0,2,3,1,2018,1168010.7,1054835.27,113175.42999999993,7.384667917379054
49,African,High,Silver,90437.66,12737.4,3,2830.36,573366.17,202406.32,101203.16,80786.52,9723.87,704110.0,2,2,3,1,2009,406857.27,1280306.53,-873449.26,14.156785237477395
65,Australian,High,Jade,32301.47,5597.4,1,1751.42,310657.96,74293.47,64447.35,14035.2,13795.28,579453.83,1,1,3,1,2008,172168.7,891863.21,-719694.51,27.610607504859683
32,European,Mid,Jade,293419.07,16443.25,1,4496.63,2183384.72,1490773.71,634781.07,281227.25,399.2,1633759.29,2,4,3,2,2007,2423624.48,3821640.64,-1398016.1600000001,13.024513505546862
29,Australian,High,Gold,55011.84,14206.2,1,3955.06,479936.38,1209655.58,474674.98,299657.72,43547.8,698612.48,3,1,4,1,1999,2041742.28,1182503.92,859238.3600000001,21.495443889897157
31,European,High,Jade,77971.46,7820.4,1,856.21,478157.92,61042.62,29222.53,25358.66,24984.35,487689.45,0,1,4,2,2015,148428.56,966703.5800000001,-818275.02,12.398172100406995
22,European,High,Jade,84111.51,18940.38,1,156.67,304608.18,130415.95,61947.58,84900.78,3455.22,356683.94,3,1,1,1,2005,299659.91,661448.79,-361788.88000000006,7.863950962240484
58,European,High,Jade,98369.29,3050.25,1,1441.89,213195.07,376150.25,235795.68,198629.79,23821.78,312562.61,3,2,2,2,2006,837447.75,527199.5700000001,310248.17999999993,5.359391838652084
75,American,High,Silver,243490.73,63872.76,1,5578.34,1045569.03,428657.45,214328.73,382765.89,32217.39,1105110.35,1,3,3,1,2012,1121842.22,2156257.72,-1034415.5000000002,8.855604975187351
18,American,Mid,Jade,72431.34,34975.16,1,5303.5,1210753.08,205810.18,127568.29,29765.93,25402.35,1532523.47,0,2,4,1,2006,423521.9099999999,2748580.05,-2325058.1399999997,37.94738644901503
47,European,Mid,Silver,456003.99,25171.2,2,7969.46,1248952.37,1050537.35,674555.56,237200.27,71113.77,1347657.84,2,4,1,2,2003,2058578.1500000001,2604579.67,-546001.5199999998,5.711747544138813
41,European,High,Platinum,71422.04,32993.52,1,4253.34,315175.42,38234.02,33404.46,7799.74,38428.49,813247.12,2,2,1,2,2018,150860.22999999998,1132675.88,-981815.6499999999,15.858912458955247
36,European,Low,Jade,39077.38,14707.68,2,1305.38,1187138.91,717787.7,144670.39,242934.97,11997.93,1231614.29,0,2,1,2,2018,1132098.67,2420058.58,-1287959.9100000001,61.92990881169619
84,European,High,Jade,274099.12,26051.76,2,2461.94,563101.95,0.0,0.0,0.0,4870.24,520918.49,3,2,2,2,2010,30922.0,1086482.38,-1055560.38,3.963830237762164
26,European,Mid,Silver,260826.75,53468.1,3,270.6,804359.98,529324.3,295539.4,106261.85,46060.06,296849.18,0,3,2,1,2019,1030653.7100000001,1101479.76,-70826.04999999993,4.223032185157389
74,American,Low,Platinum,334331.81,18591.75,2,1029.3,164253.29,641260.15,500709.98,396615.01,46006.43,1094810.02,1,3,3,2,1999,1603183.3199999998,1260092.61,343090.70999999973,3.768988090005555
47,Asian,High,Jade,61398.26,20668.94,1,550.75,360003.87,277273.4,305000.74,109324.94,2850.73,118884.97,2,1,3,1,2012,715118.75,479439.58999999997,235679.16000000003,7.8086836662797925
82,European,High,Gold,63246.3,18575.7,1,2914.18,448652.7,537205.52,362849.34,93209.87,17124.28,237993.7,0,1,3,2,2007,1028964.7100000001,689560.5800000001,339404.13,10.902781348474141
25,European,Mid,Platinum,158091.86,33824.44,3,1080.03,207662.76,177146.44,177146.44,70553.15,17133.59,235133.69,0,2,3,1,2019,475804.06000000006,443876.48,31927.580000000075,2.8077124274456637
44,European,Mid,Jade,131729.85,6664.06,2,6215.34,863722.1,359436.79,161746.56,166059.8,41209.82,506592.1,2,2,3,1,2016,735117.0299999999,1376529.54,-641412.5100000001,10.449640229606274
38,Asian,High,Gold,116926.94,18431.28,2,3828.2,1049088.92,463600.46,200893.53,58413.66,7382.34,1299697.25,1,2,3,2,2011,748721.27,2352614.37,-1603893.1,20.120379187208698
74,American,High,Gold,148224.72,27518.0,2,27.81,302048.92,73076.62,28675.63,52337.66,17272.56,456098.92,3,1,3,1,1995,198880.47,758175.6499999999,-559295.1799999999,5.115041876955476
35,Asian,Mid,Jade,348248.56,65026.0,1,3435.36,1369215.65,450525.37,124963.24,169226.54,6690.97,2698297.83,0,3,4,2,2021,816432.12,4070948.84,-3254516.7199999997,11.68977939205262
74,American,High,Silver,19637.78,9527.23,2,78.14,24331.27,150917.77,83660.94,40993.86,17286.26,100054.72,0,1,4,1,2014,302386.06,124464.13,177921.93,6.337993907661661
62,American,Mid,Jade,150304.49,7326.44,1,767.06,523866.09,363305.25,199374.83,224185.92,33854.22,607800.07,1,2,1,1,1995,828046.6599999999,1132433.22,-304386.56000000006,7.534260752955551
23,European,Low,Jade,52109.13,14277.05,1,209.68,205552.05,329191.59,116949.64,88665.16,6681.62,1148304.5,1,1,2,1,2003,555765.06,1354066.23,-798301.1699999999,25.9852012497618
68,European,Mid,Platinum,156091.75,20609.04,3,382.87,707577.9,435466.02,112495.39,252896.89,35301.62,837133.63,2,1,3,1,2007,856768.9600000001,1545094.4,-688325.4399999998,9.898629491949446
79,American,High,Jade,338383.13,57267.05,1,3505.86,1565513.72,730384.02,497152.15,144603.76,74778.17,884890.55,1,4,4,1,2020,1504185.15,2453910.13,-949724.98,7.251868998315607
29,European,High,Silver,198553.59,20851.74,1,5581.31,414518.57,1144704.01,696263.26,570935.88,40208.75,1522411.23,3,4,1,2,2019,2472963.64,1942511.1099999999,530452.5300000003,9.78330892934245
52,European,Mid,Silver,190119.93,47110.05,1,3525.21,527884.11,99616.37,122860.19,23741.9,6920.94,136723.47,1,2,1,1,2002,300249.45,668132.7899999999,-367883.3399999999,3.5142701241263867
68,American,Mid,Jade,147956.79,52216.52,1,2977.86,701005.58,720211.85,302231.76,279467.92,23058.96,1504310.04,3,2,1,2,2003,1377187.01,2208293.48,-831106.47,14.925259462576877
41,Australian,Mid,Gold,91071.75,33111.54,1,8062.65,677123.94,558283.3,298923.34,147703.3,7880.76,1554534.94,0,2,2,1,2010,1045902.2400000002,2239721.53,-1193819.2899999996,24.592933922978307
70,American,Mid,Gold,96545.37,23191.74,1,3386.45,1104753.03,1268890.97,630243.86,252097.54,39556.05,1941061.87,3,2,2,1,2020,2213980.16,3049201.35,-835221.19,31.58309248801885
32,Asian,High,Jade,63765.0,11354.0,1,2644.75,1012372.67,1568405.32,541210.29,478805.43,62053.29,1665045.85,3,2,3,2,2015,2661828.3300000005,2680063.27,-18234.93999999948,42.030318670116834
47,American,Mid,Jade,191715.4,31923.72,1,1296.45,402401.84,269460.7,316098.13,121257.32,19337.29,673780.44,0,2,3,1,2007,758077.1600000001,1077478.73,-319401.56999999983,5.62019915979624
83,Asian,Mid,Silver,218312.27,21480.88,2,5886.56,1757312.99,1099352.83,389770.55,402363.14,30773.91,735797.5,1,5,3,1,2012,1943741.3099999998,2498997.05,-555255.74,11.446892334544458
24,European,High,Platinum,157167.47,31498.25,1,1909.3,597244.53,262988.54,128881.8,51169.56,42714.8,836453.63,3,1,3,1,2006,517252.94999999995,1435607.46,-918354.51,9.134253163202283
84,European,Low,Gold,101929.59,13019.3,1,1163.81,614181.3,445914.24,137911.62,373280.79,12590.02,516128.95,3,1,3,2,2014,982715.97,1131474.06,-148758.09000000008,11.10054558249474
29,American,High,Jade,40985.49,19729.5,3,646.13,358194.38,186144.38,114664.94,37333.12,13412.63,222160.88,1,1,3,1,2009,371284.57,581001.39,-209716.82,14.175782453741556
85,African,High,Jade,109218.7,6820.8,1,2767.3,587928.77,198995.43,128873.23,68530.24,13413.79,566786.3,2,1,3,1,2018,416633.48999999993,1157482.37,-740848.8800000001,10.597840571257487
51,European,High,Jade,174258.52,34182.52,1,5185.78,648432.67,1125389.67,830895.18,198783.78,36318.33,452950.77,3,3,4,1,2014,2225569.48,1106569.2200000002,1119000.2599999998,6.350158488663856
59,European,High,Jade,74059.23,14702.6,2,1361.56,374815.99,384271.05,216865.84,124336.41,8446.4,962931.99,2,1,4,2,2018,748622.3,1339109.54,-590487.24,18.081602252683428
84,American,High,Silver,158874.14,38794.28,1,2366.28,261364.76,127418.48,101648.45,46915.77,40839.46,334072.22,0,2,1,1,2019,355616.44000000006,597803.26,-242186.81999999995,3.762747417546996
69,American,Mid,Jade,71958.9,13998.9,1,2756.83,124510.61,199185.62,120782.77,81093.97,15957.53,639874.92,1,1,2,2,2020,431018.79000000004,767142.3600000001,-336123.57000000007,10.660840563154803
17,European,High,Jade,189074.19,13258.42,1,4138.78,291504.55,247346.43,81405.16,162184.12,11482.62,358381.36,3,3,3,2,2012,515676.74999999994,654024.69,-138347.94,3.4590902650435784
78,Australian,High,Platinum,74408.69,28689.62,2,494.76,24949.1,188138.63,218375.19,61145.05,12141.52,326434.35,2,1,4,2,2005,508490.01,351878.20999999996,156611.80000000005,4.728993481809718
25,African,High,Jade,447928.06,42888.81,1,3074.93,841124.62,611852.17,222491.7,457697.21,33497.73,347546.25,3,5,1,2,2019,1368427.62,1191745.8,176681.82000000007,2.66057411094094
61,Australian,Mid,Gold,309939.21,51303.6,2,10999.17,1198037.84,1457194.61,691706.3,145258.32,44952.26,3619311.37,3,4,1,2,2001,2390415.09,4828348.38,-2437933.29,15.5783722233789
61,American,Low,Silver,151227.36,25749.75,1,397.4,455965.07,212193.82,276609.8,79800.03,13699.11,796820.24,2,2,1,1,2011,608052.51,1253182.71,-645130.2,8.286745930101537
48,Asian,High,Jade,401412.67,48428.15,2,3172.65,1511484.73,827446.85,498247.56,399309.83,51370.22,155806.11,3,5,2,1,2016,1824802.6099999999,1670463.4899999998,154339.1200000001,4.161461794417201
35,European,High,Silver,263452.26,17416.8,1,3107.16,0.0,687595.13,297957.89,507980.0,16429.39,980875.66,2,2,2,1,2021,1527379.21,983982.8200000001,543396.3899999999,3.7349568381003833
21,European,Low,Silver,404760.25,41342.34,2,4733.35,1022752.85,425498.09,212749.04,145323.96,64179.71,477400.93,0,3,3,1,2004,889093.1399999999,1504887.13,-615793.99,3.7179716387664055
23,European,High,Gold,122608.89,31945.22,1,226.91,248995.76,167320.36,182304.28,54616.36,24666.31,166961.63,2,2,3,2,2004,460852.53,416184.30000000005,44668.22999999998,3.3944055769528623
24,European,Mid,Jade,72688.95,5604.02,1,2577.26,44247.13,47024.48,16596.87,24784.67,24564.97,362233.8,1,1,3,2,2008,118575.01000000001,409058.19,-290483.18,5.627515461428457
50,European,Mid,Gold,96295.61,23986.83,1,1323.88,311472.63,193153.03,136197.65,60174.6,21291.85,396610.18,2,2,3,2,2020,434803.95999999996,709406.69,-274602.73,7.366968130738254
20,American,Mid,Jade,127182.69,10617.09,3,3142.39,92065.37,781027.69,183771.22,567065.49,24086.65,613018.84,2,1,3,2,1996,1566568.14,708226.6,858341.5399999999,5.568576981663149
49,European,High,Gold,86309.17,19088.42,1,954.95,184129.95,136811.36,39799.67,71888.15,11832.68,506381.3,2,1,3,1,1996,279420.27999999997,691466.2,-412045.92,8.011503296810755
42,American,Mid,Gold,39039.16,35780.3,1,1286.88,429795.64,217684.78,110466.9,253034.18,13282.16,83301.84,2,2,3,2,2021,630248.3200000001,514384.36,115863.96000000008,13.176112395860976
76,American,Mid,Silver,302021.94,5907.2,3,825.52,1259346.41,462110.27,75017.9,137282.76,23172.43,2366879.7,1,2,4,1,2015,703490.56,3627051.63,-2923561.07,12.009232276304164
66,European,Mid,Silver,274381.44,26955.98,1,4251.72,665570.32,1124343.31,488444.23,424485.68,47412.87,1827431.05,2,2,4,2,2003,2111642.0700000003,2497253.09,-385611.01999999955,9.10139217142384
42,European,Mid,Silver,122710.9,20009.16,1,4783.55,763332.61,129332.34,48804.66,76867.33,14130.27,334266.15,2,2,1,2,1996,289143.76,1102382.31,-813238.55,8.983572852941345
29,European,High,Jade,120617.67,15025.68,1,1932.43,575222.32,588831.44,455869.5,122324.98,16839.35,970188.11,2,1,2,1,2020,1198890.95,1547342.8599999999,-348451.9099999999,12.828492375951217
22,European,Mid,Jade,108847.47,7393.47,1,2935.23,129402.67,257681.31,177419.92,294010.15,18533.78,640916.4,3,2,3,2,2016,755038.63,773254.3,-18215.670000000042,7.104017208668241
36,Asian,High,Platinum,93309.6,22124.7,2,937.31,695931.26,858197.4,319474.94,168820.58,30101.04,935708.81,3,1,4,2,2021,1398718.6600000001,1632577.3800000001,-233858.71999999997,17.496349571748244
35,American,Low,Silver,131076.39,13731.44,1,6092.06,256672.86,325915.34,109714.07,159730.79,53942.1,1750716.49,2,3,1,2,2006,663033.74,2013481.41,-1350447.67,15.361129567269893
84,Asian,Mid,Jade,83441.32,2173.28,1,862.35,322636.11,198962.55,37398.97,133514.34,1917.33,432785.25,1,1,1,2,2001,373966.47000000003,756283.71,-382317.23999999993,9.063659467515613
48,European,Mid,Platinum,359386.37,4756.08,1,2420.87,1546378.41,1190649.75,872458.87,163201.13,75357.4,168061.17,2,3,1,2,2021,2306423.23,1716860.45,589562.78,4.777199675101757
25,Asian,Mid,Jade,113118.57,12160.5,2,1536.54,641964.66,1029868.13,340871.85,349792.54,6328.91,433718.35,3,1,2,1,2011,1739021.93,1077219.55,661802.3799999999,9.522924043329049
20,European,Low,Platinum,110102.32,12255.54,1,1513.51,37756.8,136175.35,151887.89,91289.86,5837.49,469924.54,1,2,2,1,2008,397446.12999999995,509194.85,-111748.72000000003,4.624742239763885
79,European,Low,Jade,343198.66,27522.88,1,4049.93,140800.99,758995.41,582243.06,306509.38,11408.94,637394.98,0,3,3,2,2004,1686679.67,782245.8999999999,904433.77,2.279280169683646
24,European,Mid,Gold,139310.32,37632.9,3,2109.05,252780.62,94179.54,113664.97,26792.46,10164.28,303349.11,2,2,3,1,2021,282434.15,558238.78,-275804.63,4.007160273553316
32,Asian,Mid,Silver,89269.83,18376.2,3,329.22,32037.08,199933.91,199933.91,152113.65,1727.52,154043.36,3,1,3,2,2017,572085.19,186409.65999999997,385675.52999999997,2.088159683960415
76,European,Low,Silver,75161.91,13911.24,2,2286.76,557461.27,25563.15,16645.77,11901.73,18131.52,491968.85,3,1,3,2,2011,86153.41,1051716.88,-965563.4699999999,13.992684326409478
40,Asian,Mid,Gold,124589.37,23297.54,1,468.2,124046.99,346256.75,400359.37,129413.46,22425.85,717391.36,0,2,3,1,2000,921752.97,841906.55,79846.41999999993,6.757450896493016
43,American,Mid,Silver,435632.17,37078.86,1,3008.92,424214.25,71187.94,76882.97,56978.82,10069.15,961426.38,0,4,3,2,1999,252197.74,1388649.55,-1136451.81,3.187665295701188
71,European,High,Silver,88221.82,12126.95,1,5284.59,918742.14,542037.0,348097.16,156643.72,15380.77,1451850.52,3,2,3,2,2018,1074285.5999999999,2375877.25,-1301591.6500000001,26.93072133401918
29,Asian,High,Jade,48788.15,30341.94,1,872.32,1099020.48,1385972.0,511219.18,337404.66,53970.25,536373.73,1,2,4,1,2001,2318908.03,1636266.53,682641.4999999998,33.53819585288641
66,European,High,Silver,324199.84,27648.39,1,365.06,557907.89,507996.38,369451.91,74814.01,12758.36,359677.7,3,3,4,1,2021,992669.05,917950.6500000001,74718.3999999999,2.8314346176111624
61,European,Mid,Jade,282658.49,30651.24,1,10127.28,436116.47,989380.39,512232.4,227346.98,57308.34,588222.31,1,2,1,2,2003,1816919.35,1034466.06,782453.29,3.659773530948956
24,African,High,Silver,274736.56,45424.8,2,641.87,702014.71,147575.13,105053.48,139270.9,30227.92,865724.13,0,2,2,2,1999,467552.23,1568380.71,-1100828.48,5.7086712813176375
23,Asian,Mid,Gold,147339.86,27029.67,1,3638.15,245108.44,149314.45,121975.18,53879.38,4424.42,959192.19,0,2,3,2,2005,356623.1,1207938.78,-851315.68,8.198316327978052
48,Asian,High,Jade,81683.44,23580.9,2,2171.31,418824.88,959454.45,644753.39,73686.1,37787.75,742030.19,1,1,4,2,2021,1739262.5899999999,1163026.38,576236.21,14.238214991924922
26,Asian,High,Jade,76005.3,40640.6,2,5570.9,495739.92,606032.72,399981.6,103025.56,30266.72,172313.94,0,2,1,2,2002,1179947.2,673624.76,506322.43999999994,8.862865615950467
70,European,Low,Gold,206026.56,3094.2,2,2470.82,818737.34,630729.9,411037.46,357177.38,23541.92,256471.12,3,2,1,2,2003,1425580.86,1077679.2799999998,347901.5800000003,5.230778400610095
85,Asian,High,Jade,288440.81,5937.12,1,1909.77,397326.42,265216.0,168773.82,263367.53,15874.0,654569.82,2,2,1,1,1996,719168.4700000001,1053806.01,-334637.5399999999,3.6534567005272245
37,Asian,Mid,Platinum,57825.32,47025.14,2,3151.39,627597.93,972403.54,395038.94,328186.19,73866.7,1634407.3,2,2,2,2,2006,1816520.5099999998,2265156.62,-448636.11000000034,39.172400948235136
31,African,High,Jade,412837.04,62194.6,1,7104.71,927808.29,1251565.58,441729.03,428967.97,104897.64,958339.06,0,5,2,2,2002,2289354.8200000003,1893252.06,396102.76000000024,4.585954932725998
85,European,Low,Jade,130272.52,20605.37,3,1928.39,230291.87,124809.29,82050.55,32508.2,34351.1,985553.24,0,1,3,2,2016,294324.51,1217773.5,-923448.99,9.347892402787632
